open	kitchen	[281, 669, 839, 1056, 1393, 1509, 2070, 2384, 2570, 3072, 4142, 4846, 5245, 5298, 5436, 6958, 8004, 9287, 9732, 10339, 10603, 11617, 12782, 14862, 15397, 16757, 17034, 17890, 18013, 18210, 18466, 18800, 19085, 19717, 19825, 20198, 20527, 21311, 21709, 22104, 22218, 22543, 22936, 22978, 23529, 24477, 24577, 24830, 24889, 25270, 26391, 27172, 27887, 28050, 28821, 29047, 29316, 29479, 29490, 30401, 30588, 30875, 30987, 31670, 31720, 31737, 31916, 32290, 32511, 32770, 33586, 33786, 34019, 34342, 34573, 34830, 34904, 36034, 36275, 37085, 38175, 38722, 38961, 39169, 39360, 39553, 40160, 40239, 40851, 41339, 41390, 43092, 43233, 43473, 44165, 44994, 45030, 45266, 45607, 46539, 46773, 46927, 48420, 48735, 49255, 49299, 21437, 23688, 31328, 2510, 12, 1832, 2080, 3336, 6301, 7269, 7413, 8389, 8572, 9915, 13838, 13963, 14315, 14609, 15661, 16136, 21004, 21350, 21627, 22295, 24695, 28724, 29204, 30520, 30864, 30944, 31820, 32475, 34622, 36362, 474, 509, 1146, 1266, 1409, 1432, 1755, 3171, 5171, 5883, 6444, 7232, 7969, 10251, 10579, 14123, 15147, 15356, 18122, 8540, 4298, 13682, 16210]
flatiron	steak	[13128, 15281, 15328, 20455, 21660, 22776, 1016, 2206, 2492, 2844, 3187, 3200, 3973, 4423, 4804, 5115, 5566, 5907, 6743, 7467, 7549, 7685, 8276, 8680, 9937, 10173, 10576, 11491, 12507, 12873, 12978, 13255, 13636, 13740, 13862, 14479, 16207, 16493, 18603, 19905, 20211, 20324, 20621, 20691, 21181, 21344, 21402, 22193]
chocolate	cake	[4979, 6903, 4110, 5905, 15218, 17795, 18137, 6215, 19468, 21918, 632, 913, 1599, 8267, 12993, 14157, 15467, 18094, 18887, 23446, 25755, 26019, 27407, 2697, 6209, 7768, 9277, 11929, 18905, 19192, 19209, 19453, 16968, 17985, 22427, 24773, 25658, 31240, 7380, 26905, 15831, 340, 1527, 4238, 4541, 4601, 5458, 5656, 5906, 6191, 8140, 9325, 10142, 10956, 11224, 11225, 11461, 11919, 12248, 14923, 15044, 15298, 18333, 8724, 19462, 21915, 22838, 368, 614, 1331, 1458, 5451, 7218, 21, 591, 996, 5404, 5781, 9355, 9680, 11005, 13019, 16090, 17040, 18696, 19341, 19884, 20328, 21313, 22507, 22910, 24988, 25644, 25708, 26740, 28319, 28339, 90, 742, 1150, 2216, 3615, 4015, 4403, 5201, 5203, 5347, 7099, 7935, 9555, 11661, 13290, 14302, 15515, 16680, 17634, 20143, 9470]
good	seafood	[224, 555, 4899, 5755, 6940, 7458, 7488, 10112, 10701, 8033, 20849, 4771]
days	later	[22076, 3087, 4173, 10934, 18299, 20319, 21784, 17459, 27404, 40992, 41015, 47315, 14289, 31142, 6705, 21034, 5020, 5919, 3182, 828, 11191, 14582, 17533, 4167, 6095, 33990, 14296, 33068, 671, 5198, 12265, 15750, 224, 473, 10718, 11169, 622, 6541, 13220, 16050, 16546]
good	restaurant	[5412, 10594, 11436, 11219, 11235, 13916, 19701, 17547, 12028, 977, 1839, 11867, 13393, 15158, 16952, 17475, 4330, 7188, 1349, 7690, 35174, 2323, 3642, 4484, 1198, 6296, 12464, 15449, 15844, 10106, 383, 1729, 4799, 9250, 19422, 20332]
small	burger	[1576, 2246, 2518, 5657, 9048, 10346, 10706, 11225, 13313, 16467, 19580, 22115, 20320]
okay	place	[2431, 30063, 19373, 6509, 27109, 28610, 7672, 13242, 30203, 14190, 2426, 20747]
great	burgers	[1519, 8632, 10432, 11434, 13541, 13740, 14593, 15160, 15759, 17813, 18867, 19281, 19458, 19495, 20448, 20791, 22313, 22316, 7561, 13459]
worth	ordering	[11170, 13528, 18218, 5512, 19392, 35489, 37294, 29671, 21984, 23906, 6333, 16378, 6006, 13141, 3007, 3186, 19994]
good	steak	[13527, 22407, 48211, 10337, 903, 1526, 3868, 8420, 10173, 15910, 20622, 1382, 6081]
better	service	[10455, 3395, 8974, 19275, 27978, 27981, 29672, 31400, 42470, 46917, 12342, 14162, 25495, 10248, 2897, 3127, 4159, 5782, 6627, 20581, 13937, 14581, 30749, 2833, 12726, 3290, 6812, 14127, 2527, 4311, 1985, 1991, 2924, 2951, 4802, 9308, 9569, 1256, 17041, 5372, 9740, 14222, 19056, 21567, 6243, 6896]
